Series	NIPA	IP	Emp	Housing	IOS	Prices	Earnings	Interest	Money	HBS	ER	Other	SM	NHBS	
GDPC1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
PCECC96	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
PCDGx	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
PCESVx	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
PCNDx	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
GPDIC1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
FPIx	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
Y033RC1Q027SBEAx	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
PNFIx	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
PRFIx	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
A014RE1Q156NBEA	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
GCEC1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
A823RL1Q225SBEA	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
FGRECPTx	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
SLCEx	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
EXPGSC1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
IMPGSC1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
DPIC96	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
OUTNFB	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
OUTBS	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
INDPRO	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
IPFINAL	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
IPCONGD	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
IPMAT	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
IPDMAT	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
IPNMAT	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
IPDCONGD	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
IPB51110SQ	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
IPNCONGD	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
IPBUSEQ	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
IPB51220SQ	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
CUMFNS	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
PAYEMS	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
USPRIV	0	0	1	0	0	0	0	0	0	0	0	0	0	0
MANEMP	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
SRVPRD	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
USGOOD	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
DMANEMP	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
NDMANEMP	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
USCONS	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
USEHS	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
USFIRE	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
USINFO	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
USPBS	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
USLAH	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
USSERV	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
USMINE	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
USTPU	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
USGOVT	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
USTRADE	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
USWTRADE	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
CES9091000001	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
CES9092000001	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
CES9093000001	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
CE16OV	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
CIVPART	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
UNRATE	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
UNRATESTx	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
UNRATELTx	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
LNS14000012	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
LNS14000025	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
LNS14000026	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
UEMPLT5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
UEMP5TO14	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
UEMP15T26	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
UEMP27OV	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
LNS12032194	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
HOABS	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
HOANBS	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
AWHMAN	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
AWOTMAN	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
HWIx	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
HOUST	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
HOUST5F	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
HOUSTMW	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
HOUSTNE	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
HOUSTS	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
HOUSTW	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
CMRMTSPLx	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
RSAFSx	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
AMDMNOx	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
AMDMUOx	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
PCECTPI	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
PCEPILFE	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
GDPCTPI	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
GPDICTPI	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
IPDBS	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
DGDSRG3Q086SBEA	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
DDURRG3Q086SBEA	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
DSERRG3Q086SBEA	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
DNDGRG3Q086SBEA	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
DHCERG3Q086SBEA	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
DMOTRG3Q086SBEA	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
DFDHRG3Q086SBEA	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
DREQRG3Q086SBEA	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
DODGRG3Q086SBEA	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
DFXARG3Q086SBEA	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
DCLORG3Q086SBEA	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
DGOERG3Q086SBEA	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
DONGRG3Q086SBEA	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
DHUTRG3Q086SBEA	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
DHLCRG3Q086SBEA	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
DTRSRG3Q086SBEA	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
DRCARG3Q086SBEA	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
DFSARG3Q086SBEA	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
DIFSRG3Q086SBEA	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
DOTSRG3Q086SBEA	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
CPIAUCSL	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
CPILFESL	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
WPSFD49207	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
PPIACO	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
WPSFD49502	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
WPSFD4111	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
PPIIDC	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
WPSID61	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
WPU0561	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
OILPRICEx	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
CES2000000008x	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
CES3000000008x	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
COMPRNFB	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
RCPHBS	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
OPHNFB	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
OPHPBS	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
ULCBS	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
ULCNFB	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
UNLPNBS	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
FEDFUNDS	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
TB3MS	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
TB6MS	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
GS1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
GS10	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
AAA	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
BAA	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
BAA10YM	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
TB6M3Mx	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
GS1TB3Mx	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
GS10TB3Mx	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
CPF3MTB3Mx	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
AMBSLREALx	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
M1REALx	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
M2REALx	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
MZMREALx	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
BUSLOANSx	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
CONSUMERx	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
NONREVSLx	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
REALLNx	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
TOTALSLx	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
TABSHNOx	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
TLBSHNOx	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
LIABPIx	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
TNWBSHNOx	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
NWPIx	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
TARESAx	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
HNOREMQ027Sx	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
TFAABSHNOx	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
EXSZUSx	0	0	0	0	0	0	0	0	0	0	1	0	0	0	
EXJPUSx	0	0	0	0	0	0	0	0	0	0	1	0	0	0	
EXUSUKx	0	0	0	0	0	0	0	0	0	0	1	0	0	0	
EXCAUSx	0	0	0	0	0	0	0	0	0	0	1	0	0	0	
B020RE1Q156NBEA	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
B021RE1Q156NBEA	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
IPMANSICS	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
