GDP251  ,GDP252  ,GDP253  ,GDP254  ,GDP255  ,GDP256  ,GDP257  ,GDP258  ,GDP259  ,GDP260  ,GDP261  ,GDP263  ,GDP264  ,GDP265  ,GDP266  ,GDP267  ,GDP268  ,GDP269  ,GDP270  ,GDP271  ,GDP272  ,GDP273  ,GDP274  ,GDP275  ,GDP276  ,GDP277  ,GDP278  ,GDP279  ,GDP280  ,GDP281  ,GDP282  ,GDP284  ,GDP285  ,GDP286  ,GDP287  ,GDP288  ,GDP289  ,GDP290  ,GDP291  ,GDP292  ,LBOUT   ,LBPUR7  ,LBMNU   ,LBLCPU  ,GDP272A,GDP273A,GDP274A,GDP274_1,GDP274_2,GDP274_3,GDP275A,GDP275_1,GDP275_2,GDP275_3,GDP275_4,GDP276A,GDP276_1,GDP276_2,GDP276_3,GDP276_4,GDP276_5,GDP276_6,GDP276_7,GDP276_8,GDP277A,GDP278A,GDP279A,GDP280A,GDP281A,GDP282A,GDP284A,GDP284_1,GDP284_2,GDP285A,GDP285_1,GDP285_2,GDP286A,GDP287A,GDP288A,IPS10   ,IPS11   ,IPS299  ,IPS12   ,IPS13   ,IPS18   ,IPS25   ,IPS32   ,IPS34   ,IPS38   ,IPS43   ,IPS307  ,IPS306  ,PMP     ,UTL11   ,CES275  ,CES277  ,CES278  ,CES275R  ,CES277R  ,CES278 R ,CES002  ,CES003  ,CES006  ,CES011  ,CES015  ,CES017  ,CES033  ,CES046  ,CES048  ,CES049  ,CES053  ,CES088  ,CES140  ,LHEL    ,LHELX   ,LHEM    ,LHNAG   ,LHUR    ,LHU680  ,LHU5    ,LHU14   ,LHU15   ,LHU26   ,LHU27   ,CES151  ,CES155  ,HSBR    ,HSFR    ,HSNE    ,HSMW    ,HSSOU   ,HSWST   ,FYFF    ,FYGM3   ,FYGM6   ,FYGT1   ,FYGT5   ,FYGT10  ,FYAAAC  ,FYBAAC  ,Sfygm6,Sfygt1,Sfygt10,sFYAAAC  ,sFYBAAC  ,FM1     ,MZMSL,FM2,FMFBA   ,FMRRA   ,FMRNBA  ,BUSLOANS,CCINRV  ,PI071   ,PI072   ,PI073   ,PI074   ,CPIAUCSL,CPILFESL,PCEPILFE,PWFSA   ,PWFCSA  ,PWIMSA  ,PWCMSA  ,PWCMSAR ,PSCCOM  ,PSCCOMR ,PW561   ,PW561R   ,PMCP    ,EXRUS   ,EXRSW   ,EXRJAN  ,EXRUK   ,EXRCAN  ,FSPCOM  ,FSPIN   ,FSDXP   ,FSPXE   ,FSDJ    ,HHSNTN  ,PMI     ,PMNO    ,PMDEL   ,PMNV    ,MOCMQ   ,MSONDQ  
0.025912,0.017079,0.038162,0.008416,0.019048,0.080715,0.032116,0.029456,0.030178,0.028694,0.03488,0.033216,0.049791,0.015297,0.023596,0.0025921,0.017757,0.026844,0.018523,0.02586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0064888,0.0083939,0.018948,-0.0033426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047265,0.030705,0.029563,0.01979,0.036833,0.014222,0.066451,0.06915,0.090182,0.051058,0.047073,0.01931,-0.0053047,70.767,84.56,0,0,0,0.013541,0.0098875,0.012129,0.016878,0.023577,0.0041868,0.031331,0.022964,0.033417,0.0080407,0.0098987,0.010983,0.011238,0.0095151,0.0098577,0.0034843,4.6667,0.18333,0.012933,0.0095812,-0.73333,-0.86667,-0.020261,-0.16599,-0.26906,-0.31913,-0.2329,40.2,0.26667,7.3225,7.3332,5.5722,5.8944,6.2416,5.9679,0.51333,0.22667,0.25667,0.41333,0.33667,0.26667,0.22333,0.083333,0.37333,0.91667,1.2567,0.096667,0.69667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.003984,0,0.024849,0,-0.0015912,66.067,-0.0027589,0.0007725,0,0.0017781,-0.010363,0.035278,0.040538,-0.036667,0.043333,0.047495,1.4,66.5,67,63.833,64.267,0.0078651,0.072657
-0.00079968,0.010797,0.020787,0.0056708,0.014886,-0.072677,0.011939,0.031339,0.029294,0.032736,-0.019256,0.030772,0.011364,0.012452,0.020485,0.0011089,0.012719,-0.0016313,0.011758,-0.00039896,0.0014433,0.0024396,-0.0043823,0.0039486,0.0038692,-0.0013702,-0.0010739,-0.0011673,-0.0019088,-0.00061799,-0.0006015,0.0071479,0.0018271,-0.0026092,-0.0030832,-0.0013831,0.0014552,0.00097966,0.00098788,0.0014447,0.0060323,0.0014457,-0.0029421,0.0066741,0.0014433,0.0024396,-0.0043823,-0.008644,-0.0019345,0.0021049,0.0039486,0.0055184,0.0014127,-0.0089347,0.0047277,0.0038692,-0.0027265,0.010658,0.0079457,0.012217,-0.0020519,-0.0011167,0.002923,0.018387,-0.0013702,-0.0010739,-0.0011673,-0.0019088,-0.00061799,-0.0006015,0.0071479,0.0065133,0.0096507,0.0018271,0.0017479,0.0015349,-0.0026092,-0.0030832,-0.0013831,-0.041681,0.0023949,0.013314,0.010982,0.002408,0.01313,0.019841,-0.10928,-0.18426,0.003805,-0.040502,0.032685,-0.021203,57.7,80.5,-0.013945,0.0051451,-0.016106,-0.0034467,0.011683,-0.0065381,-0.00098499,-0.0082773,-0.040916,-0.0052987,-0.0075023,-0.017681,0.0070353,0.0048691,0.0045836,0.012883,0.0076751,0.00733,0.0063226,2.3333,0.016667,0.0015889,0.0070574,0.16667,-0.93333,0.06565,0.16862,-0.10435,0.030047,-0.20913,39.933,-0.066667,7.2742,7.317,5.5121,5.8889,6.2583,5.926,0.49333,0.54,0.75667,0.68667,0.36,0.24667,0.12,0.16333,0.59,1.0633,0.96333,-0.03,0.61333,-0.001485,-0.00054952,-0.0013418,0.0017481,0.013079,0.019865,0.0086574,0.0070847,0.0027669,-0.004382,0.0030678,0.0045188,0.0034284,-0.0011326,0.0020412,-0.0040161,-0.0009995,-0.0065017,-0.020311,-0.026381,-0.040244,-0.01743,-0.007368,-0.01095,61.033,0.0036768,0,0.00024082,-0.0022053,-0.0069687,0.02105,0.023641,-0.063333,-1.0833,0.041463,-0.53333,54.967,53.133,58,51.733,-0.050727,0.015243
0.0035935,0.0017167,-0.05233,0.0068219,0.012787,0.032811,-0.013204,-0.0036364,-0.0075128,-0.0016116,-0.029598,-0.027935,-0.025752,-0.011008,-0.014672,-0.0055566,-0.0035608,0.0036667,-0.0036342,0.0039825,0.00095135,0.00046216,-1.92E-07,-0.0022135,0.0025176,-0.001021,-0.0014174,-0.0028503,-0.0025126,-0.002171,0.00060114,0.0026219,0.0067972,0.0071507,0.010359,0.0020711,0.0009591,0.0014613,0.0014735,0.00095225,0.0024855,0.003685,0.00016368,0.011391,0.00095135,0.00046216,-1.92E-07,0.00063765,-0.0012058,0.00030062,-0.0022135,-0.0035117,-0.0026507,0.019759,-0.007236,0.0025176,0.002126,-0.0057068,-0.0011807,-0.0091445,-0.0045584,0.0040096,-0.0016645,0.0067726,-0.001021,-0.0014174,-0.0028503,-0.0025126,-0.002171,0.00060114,0.0026219,0.0094271,-0.016047,0.0067972,0.0091092,0.0005119,0.0071507,0.010359,0.0020711,0.0047619,-0.0050626,-0.010991,-0.010333,-0.052913,0.0053462,-0.021791,0.023473,0.040383,-0.010033,0.0034869,0.023717,0.015944,54.667,80.077,0.0015279,-0.0028916,0.0032026,-0.0025141,0.0094099,-0.0039435,0.0020351,-0.002989,-0.0042638,-0.013536,-0.0010422,-0.0018931,0.00015694,0.0074813,0.0032051,0.0049023,0.0049208,0.0076794,0.013088,-1,-0.07,0.00080635,0.0017776,0.33333,-0.86667,0.070769,0.052181,0.041046,0.10903,-0.022744,39.7,-0.16667,7.2079,7.2844,5.5294,5.8348,6.2377,5.8627,0.41333,0.69,0.51,0.31333,0.14333,0.08,0.096667,0.15667,0.41,0.68667,0.35333,-0.013333,0.69,-0.015843,-0.0084426,-0.010003,-0.0086778,-0.013397,0.007892,-0.020096,-0.0004271,0.00013653,-7.32E-05,-0.001482,0.0023013,0.00088197,0.0021735,-0.00042939,-0.0020202,-0.0050186,0.0032438,0.0083605,-0.017573,-0.006436,-0.02344,-0.0049871,-0.015545,63.933,0.00037959,0.0038536,0.00084241,-0.0020793,-0.0035026,-0.016596,-0.01663,0.056667,-1.3633,-0.0019111,0.2,52.833,54.633,55.6,43.867,-0.007924,-0.022308
0.021684,0.0089648,0.033367,-0.00059137,0.012161,0.10471,0.034218,0.037538,0.040897,0.036425,0.028284,0.11873,0.036989,-0.019928,-0.046265,0.017308,0.010252,0.018135,0.0068535,0.021625,-0.0014491,-0.0034176,-0.0013151,-0.003063,-0.0038871,-0.00067808,-0.00035416,-0.0014183,0.0018705,-0.004695,0.0023992,-0.0097901,-0.012717,0.0019411,-0.0018332,0.0075378,-0.0014611,-0.0014769,-0.0019811,-0.0014505,0.02694,0.01995,0.0062001,-0.0014625,-0.0014491,-0.0034176,-0.0013151,-0.0073953,0.003492,0.0038983,-0.003063,0.00049962,0.00080541,-0.035455,-0.0019138,-0.0038871,-0.0032278,-0.00099891,-0.00062716,-0.0020804,0.0025293,-0.012283,-0.005562,-0.0021129,-0.00067808,-0.00035416,-0.0014183,0.0018705,-0.004695,0.0023992,-0.0097901,-0.011493,-0.0052278,-0.012717,-0.01655,-0.0025611,0.0019411,-0.0018332,0.0075378,0.058433,0.03517,0.036572,0.038209,0.12242,0.0076134,0.045785,0.093247,0.14642,0.028311,0.063632,0.0076301,0.0010391,60.967,84.47,0.019614,0.0061852,0.023677,0.020863,0.018821,0.023431,0.013378,0.017442,0.014627,-0.015952,0.02421,0.037699,0.004905,0.010217,0.0079682,0.0039345,0.010842,0.0085528,0.0096256,0.33333,0.073333,0.0043953,0.0072069,-0.46667,0.16667,-0.084403,-0.12336,-0.025456,-0.0093694,-0.041841,39.733,0.16667,6.9518,7.2133,5.4366,5.7547,6.1605,5.824,-0.056667,-0.35667,-0.42333,-0.34667,-0.18667,-0.096667,-0.016667,0.036667,0.34333,0.69667,0.61333,0.066667,0.82333,0.0058972,0.0012512,0.001775,-0.0017418,-0.0082394,-0.0024297,0.0095913,-0.01323,-0.0032553,-0.0013153,-0.0033547,-0.0040991,-0.0051258,-0.0022218,-0.0031472,0.0090609,0.012036,-0.0021622,0.01195,-0.0025059,0.0084518,-0.011851,0.0099011,-0.0024294,60.667,0.00022136,0.00076894,0.0008417,0.00019029,0,-0.026074,-0.029895,0.18,-0.47,-0.031249,6.1,53.867,56.7,35.567,51.867,0.0049861,-0.037765
-0.0046912,0.012249,0.022534,0.011761,0.009255,-0.10795,-0.02039,0.014802,0.011567,0.016963,-0.085649,0.062177,0.005571,0.0080675,-0.0039538,0.024167,0.0093714,-0.0080193,0.0064077,-0.0046784,0.0023781,0.0033787,0.00021658,0.0060894,0.0012384,0.00067351,0.0010539,0.00084918,-0.0087488,0.0074224,0.00058822,-0.002348,0.003624,-1.51E-05,0.0030479,-0.0048388,0.0019173,0.0019377,0.0029373,0.0019036,-0.020342,-0.00015678,0.0017876,0.020283,0.0023781,0.0033787,0.00021658,0.0018802,-0.0013288,-0.0012128,0.0060894,0.0094401,0.0026101,0.012163,-0.0028436,0.0012384,-7.10E-06,-0.0014241,-0.0021502,-0.00044827,-0.0051187,0.016146,-0.0020057,0.0019292,0.00067351,0.0010539,0.00084918,-0.0087488,0.0074224,0.00058822,-0.002348,-0.00058849,-0.0079108,0.003624,0.0030347,0.0040984,-1.51E-05,0.0030479,-0.0048388,-0.021896,-0.0019361,0.00013154,0.0054004,-0.016318,0.013316,-0.0090983,-0.050571,-0.083595,-0.0093123,-0.026477,0.01957,0.020486,47.767,81.317,-0.018202,-0.01551,-0.023719,-0.00092493,-0.00052535,-0.0038672,0.0010567,-0.0070197,-0.002617,0.0076757,-0.0098878,-0.01656,-0.0002603,0.007559,0.0072215,0.0032876,0.0093207,0.0074241,0.0094945,-2.6667,-0.076667,0.01292,0.011932,0.1,-1.0667,0.091945,0.018275,-0.063876,-0.036877,-0.092615,39.667,-0.4,6.9164,7.146,5.3644,5.7137,6.0958,5.7312,-0.23667,-0.88,-0.92667,-0.7,-0.34,-0.22667,-0.1,-0.063333,0.29667,0.87667,1.2667,0.19333,0.98667,0.00070841,0.00065104,0.002744,0.0032831,0.0056082,0.020289,-0.0032529,0.0036515,0.0035401,0.00028957,0.0060885,0.0016622,0.0050842,-0.0021929,0.0014788,0.0009733,0.0019501,-0.0010805,0.0054496,0.0015089,0.026687,0.013367,0,-0.0039736,56.667,0.0059269,-0.0023086,0.00036051,0.0010935,0.024265,-0.0036791,-0.0067789,0.053333,-0.57333,-0.0079312,-3.8333,44.1,49,32,43.967,-0.015034,0.039053
0.0015662,-0.004207,-0.0071557,-0.0070402,0.00046051,-0.0058461,-0.027208,-0.024498,0.0020424,-0.042161,-0.030852,-0.026349,-0.0296,0.023819,0.030758,0.014857,-0.0015558,0.001609,-0.0015981,0.0015619,-0.00049672,-0.0014687,-0.0019841,-0.0034951,0.0012148,-0.0023617,-0.0028144,-0.002265,0.00059848,-0.0041046,-0.0029917,0.0060304,0.0045159,0.0063912,0.012054,-0.00069946,0.00045944,-1.91E-05,-0.00051117,0.0004563,0.002053,0.0051607,-0.0056989,0.0032218,-0.00049672,-0.0014687,-0.0019841,-0.0023331,-0.0010818,-0.00090323,-0.0034951,-0.0099456,-0.0016286,0.021369,0.00047315,0.0012148,0.0021116,-0.003186,-0.0036354,-0.0028074,0.0031619,-0.0032166,0.0029271,0.0012149,-0.0023617,-0.0028144,-0.002265,0.00059848,-0.0041046,-0.0029917,0.0060304,0.0064533,0.0055665,0.0045159,0.0017329,0.010158,0.0063912,0.012054,-0.00069946,-0.016548,-0.015625,-0.013107,-0.011878,-0.039371,-0.0014805,-0.031679,-0.021306,-0.028679,-0.013098,-0.018618,0.014944,0.0070974,49.5,78.9,-1.99E-05,0.01126,0.0031032,0.00061671,0.012273,0.00096821,-0.0060807,-0.012618,-0.017871,-0.010023,-0.012759,-0.01695,-0.0067917,-0.00094768,-0.0052767,0.002894,-0.0048581,0.0075005,0.00039365,-2.6667,-0.096667,-0.00057034,-0.0037666,0.3,0.43333,-0.011431,0.12289,0.10536,0.1549,0.048163,39.333,-0.066667,6.9001,7.1006,5.3327,5.6824,6.0379,5.6802,-0.76,-0.63333,-0.58,-0.79667,-0.62667,-0.42667,-0.14,-0.14333,0.35,0.71333,1.4733,0.48,1.27,0.011416,0.0087251,0.0096638,0.0074166,0.030373,0.02603,-0.017299,-0.010863,-0.0016304,-0.0019108,-0.0034945,0.00079386,-0.0054284,-0.0032674,-5.81E-08,-0.0050085,-0.005986,-1.17E-06,-0.025209,-0.023708,-0.026279,-0.01291,0,-0.0039362,49.633,-0.0016044,-0.0038595,-0.0046783,0.0015549,0,-0.0062618,-0.012285,0.03,-0.083333,-0.016951,-1.9667,45.567,50.6,37.033,40.6,0.015594,-0.041063
-0.013391,0.001264,-0.027299,0.00088274,0.010078,-0.13139,-0.003856,-0.0053286,0.037542,-0.035718,-0.0014791,0.020421,-0.048361,0.0068713,0.0035398,0.011173,0.0050476,-0.016208,0.0015981,-0.012564,0.00045382,0.00094216,0.0015347,0.0021437,-0.0013019,-0.0013518,-0.001057,-0.002557,-0.0019272,-0.0029187,0.00059577,-0.0080353,-0.0081301,-0.0020025,-0.003775,-1.65E-05,-0.0004987,0.00046219,0.00046585,-0.000495,-0.0076171,-0.0021861,-0.0093512,0.017361,0.00045382,0.00094216,0.0015347,0.0038808,-0.00095952,-0.00030263,0.0021437,0.0078738,-0.0016111,-0.019073,0.00047248,-0.0013019,-0.0010764,-0.0013571,-0.0025684,-0.00080301,0.0031141,-0.0021182,-4.70E-05,-0.0020746,-0.0013518,-0.001057,-0.002557,-0.0019272,-0.0029187,0.00059577,-0.0080353,-0.0087941,-0.0050994,-0.0081301,-0.0095534,-0.0061593,-0.0020025,-0.003775,-1.65E-05,-0.024353,-0.012147,-0.011392,-0.006625,-0.027135,0.00078407,-0.027569,-0.042798,-0.066888,-0.020474,-0.028008,0.011536,-0.005282,48.1,75.853,0.0029258,-0.007652,-0.001566,0.0024631,0.004144,-0.0019374,-0.008486,-0.018182,-0.011278,-0.020353,-0.017792,-0.024041,-0.0090046,0.00074874,-0.0050343,-0.0042822,-0.002674,0.0048388,0.008114,-3.6667,-0.14,-0.0027908,-0.0016897,0.73333,0.7,0.084768,0.11113,0.2278,0.19256,0.26909,38.8,-0.2,6.8745,7.0775,5.4985,5.581,5.9305,5.7004,-0.64,-0.053333,-0.08,-0.08,0.073333,0.053333,0.0066667,-0.0066667,0.32333,0.68667,1.58,0.43333,1.21,-0.0097425,-0.0010274,-0.003197,-0.0025129,-0.0059142,-0.011196,0.0022953,-0.0032879,0.00094216,0.0014615,0.002,-0.0010916,0.0058371,0.0065206,-0.00029459,0.0059573,0.0059074,-0.0010852,0.025287,0.0018274,-0.01772,-0.030342,0,-0.0036842,46.167,0.0018244,0,0.0013177,0.00014232,0.006826,-0.0069636,-0.0065689,0.016667,1.2133,-0.030358,-3.1333,44.867,48.6,38.067,40.233,-0.022158,-0.018958
0.0063241,-0.00042114,-0.060855,0.0064497,0.01088,0.024221,-0.012962,-0.021603,-0.0046781,-0.031909,0.0041359,-0.005963,-0.0045147,0.012903,-0.001326,0.032118,0.00077429,0.0061088,0.0011969,0.0066943,-0.003787,-0.0033602,0.0019857,-0.0034557,-0.0043826,0.00033458,-0.00035615,0.0022668,0.0069555,-0.00078292,-0.0047747,0.0083626,0.0036109,-0.007634,-0.0137,0.0013259,-0.002866,-0.0038601,-0.003892,-0.0028456,0.010484,0.0070099,-0.0056198,-0.0031662,-0.003787,-0.0033602,0.0019857,0.0055853,-0.0012004,-0.00089387,-0.0034557,-0.0049428,-0.0010021,-0.0051414,-8.93E-07,-0.0043826,-0.0015905,-0.00089966,0.0010175,-0.001975,-0.00068852,-0.0078827,-0.00052958,-0.011756,0.00033458,-0.00035615,0.0022668,0.0069555,-0.00078292,-0.0047747,0.0083626,0.012288,-0.0065125,0.0036109,0.0060773,0.00046301,-0.007634,-0.0137,0.0013259,-0.015225,-0.011759,-0.014664,-0.015095,-0.075743,0.0036509,-0.015812,-0.020645,-0.045392,0.0083062,-0.017428,0.0099676,0.017832,50.633,73.827,-0.0059106,0.0023731,-0.0015516,-0.00030755,0.0092617,0,-0.0080701,-0.016747,-0.029509,-0.0053834,-0.018361,-0.028213,-0.004772,-0.00012317,-0.0060567,-0.004637,-0.0033886,0.0044259,0.0057224,-1.3333,-0.063333,-0.0015453,-0.00018792,0.53333,0.53333,0.034832,0.057347,0.16868,0.15869,0.17982,39.233,-0.066667,6.8841,7.1231,5.3,5.696,6.073,5.7312,-0.29333,0.043333,-0.093333,-0.12,-0.10333,-0.1,-0.05,-0.033333,0.18667,0.52333,1.4367,0.48333,1.2767,0.0054314,0.0023164,0.0026431,-0.0075057,-0.01921,-0.032022,-0.0032522,-0.0032747,-0.003201,0.0020593,-0.0030254,-0.0041762,-0.0043878,-0.0032673,-0.0022862,-0.0079454,-0.0098562,0.0010817,-3.04E-05,0.0041407,0.048009,0.019936,0,-0.0014454,49.867,0.0011935,0.0015456,-0.0014291,-0.0034093,0.010152,0.11381,0.11134,-0.36,2.2133,0.085286,1.0667,45.533,50.367,40.8,38.667,-0.028756,0.0081689
0.018349,0.01505,0.020379,0.010465,0.017874,0.072708,0.014892,0.020712,-0.016924,0.046675,0.0035315,-0.014458,0.011994,0.0023283,0.0089529,-0.0067477,0.010778,0.020097,0.011891,0.017892,0.00094073,-0.0014337,0.0052864,-0.0068847,0.001857,0.0020303,0.0028224,0.00028308,0.0019017,-0.00078842,0.00776,0.0079089,-0.0022587,0.0050469,0.0047478,0.0039659,0.00047246,-9.24E-07,-9.39E-07,0.00046914,0.033977,0.014333,-0.0023233,-0.014552,0.00094073,-0.0014337,0.0052864,0.010793,0.0016804,-1.41E-06,-0.0068847,-0.0078319,-0.0029983,-0.022667,-0.0004727,0.001857,0.0031402,0.00044234,0.00050176,0.0011767,0.0017955,-0.00098084,-0.0038893,0.0045609,0.0020303,0.0028224,0.00028308,0.0019017,-0.00078842,0.00776,0.0079089,0.0068332,0.01395,-0.0022587,-0.0030672,-0.0030228,0.0050469,0.0047478,0.0039659,0.038801,0.026919,0.025923,0.036597,0.10033,0.017119,0.010091,0.057946,0.080235,0.040315,0.041585,0.023019,-0.026429,64.533,76.353,0.01166,0.0059067,0.012249,0.013444,0.017515,0.014121,0.0019664,0.0037679,-0.011177,-0.0058746,0.0060984,0.0095446,0.0013809,0.0026118,-0.0029057,-0.0020581,-0.0046947,0.0053112,0.008465,1.3333,0.0066667,-0.0020202,0.0030135,0.2,1.9667,-0.083998,-0.018986,0.1596,0.060625,0.25862,39.333,0.13333,6.9402,7.1378,5.482,5.5822,6.124,5.6904,-0.27,-0.046667,-0.05,0.063333,-0.026667,0.0033333,0.013333,-0.046667,0.18333,0.63333,1.4867,0.49333,1.2267,0.0023164,-0.0010433,0.0011618,0.0016859,-0.0094395,-0.01111,-0.0031767,-0.015258,-0.001752,0.0050659,-0.0073133,0.0014427,-0.0023479,0.0010735,0.0016507,-0.0079692,-0.0099148,-0.0021775,-0.023197,-0.020708,-0.0060386,0.012289,0.007435,0.0044898,52.267,-0.0021681,0.0015432,0.0072082,-0.0026094,0.0067114,0.062214,0.06265,-0.19333,1.4933,0.057995,2.6667,58.2,65.5,48.233,42.433,0.075806,-0.0054385
0.016117,0.0049669,0.024669,0.0005782,0.0039779,0.080924,0.023501,0.0079894,0.00025097,0.012945,0.052644,-0.0048662,0.063513,0.019575,0.027952,0.0084275,0.0076278,0.019311,0.010972,0.016062,0.00093542,0.0038132,-0.00046496,0.007752,0.00060327,-0.00067716,-0.0014119,-1.30E-06,-0.00063592,0.00057929,-0.0041779,-0.014902,-1.84E-06,-0.0037938,-0.0041538,-0.0027233,0.00046977,0.0019157,0.0019314,0.00046649,0.010226,0.0035133,0.0057981,-0.0057368,0.00093542,0.0038132,-0.00046496,0.0011561,-0.0019227,-0.00029739,0.007752,0.0034245,0.0069897,0.048752,-0.0014163,0.00060327,-0.0015903,-0.0026752,-0.0061069,-0.0011809,-0.0037575,0.0048388,0.0052712,0.0058271,-0.00067716,-0.0014119,-1.30E-06,-0.00063592,0.00057929,-0.0041779,-0.014902,-0.020197,0.00087868,-1.84E-06,0.0034988,-0.0054807,-0.0037938,-0.0041538,-0.0027233,0.031348,0.020974,0.01888,0.019126,0.032423,0.013471,0.019319,0.047289,0.073688,0.028097,0.034278,0.012702,0.029702,66.5,78.417,-0.0030355,-0.013371,-0.0047024,0.0066546,-0.00025167,0.0054028,0.0082448,0.0093492,0.0062768,0.0054151,0.010318,0.01548,0.0031795,0.0084883,0.004627,0.0060003,0.005486,0.0070808,0.011595,2.6667,0.06,0.00093952,5.51E-06,-0.23333,1.0333,0.0058123,-0.057241,0.015083,-0.031171,0.055225,39.5,0.3,7.0151,7.2143,5.5835,5.6033,6.2113,5.7777,-0.05,0,0.11,0.076667,0.28333,0.19,0.15333,0.09,0.29333,0.71,1.6767,0.45667,1.1267,-0.0014463,-0.0020643,-0.0015484,0.01096,0.024455,0.024761,0.0030789,0.011898,0.0038137,-0.00031776,0.0077505,0.0010164,0.0042386,0.0010631,0.0012671,0.0089597,0.012877,-1.07E-05,0.027694,0.005673,-0.029581,-0.018607,-0.007435,-0.0043291,52.333,0.010514,-0.00077131,0.0014465,0.0024547,0.032898,0.01275,0.010779,-0.01,0.52333,0.024323,0.5,60.633,65.633,50.233,52.033,0.026086,0.08522
