Series	GDP	IP	Employment	Unemployment	Housing	Inventories	Prices	Wages	InterestRates	Money	ExchangeRate	StockPrice	ConsumerExpectations
GDP251	1	0	0	0	0	0	0	0	0	0	0	0	0
CPIAUCSL	0	0	0	0	0	0	1	0	0	0	0	0	0
FYFF	0	0	0	0	0	0	0	0	1	0	0	0	0
PSCCOMR	0	0	0	0	0	0	1	0	0	0	0	0	0
FMRNBA	0	0	0	0	0	0	0	0	0	1	0	0	0
FMRRA	0	0	0	0	0	0	0	0	0	1	0	0	0
FM2	0	0	0	0	0	0	0	0	0	1	0	0	0
GDP252	1	0	0	0	0	0	0	0	0	0	0	0	0
IPS10	0	1	0	0	0	0	0	0	0	0	0	0	0
UTL11	0	1	0	0	0	0	0	0	0	0	0	0	0
LHUR	0	0	0	1	0	0	0	0	0	0	0	0	0
HSFR	0	0	0	0	1	0	0	0	0	0	0	0	0
PWFSA	0	0	0	0	0	0	1	0	0	0	0	0	0
GDP273	0	0	0	0	0	0	1	0	0	0	0	0	0
CES275R	0	0	0	0	0	0	0	1	0	0	0	0	0
FM1	0	0	0	0	0	0	0	0	0	1	0	0	0
FSPIN	0	0	0	0	0	0	0	0	0	0	0	1	0
FYGT10	0	0	0	0	0	0	0	0	1	0	0	0	0
EXRUS	0	0	0	0	0	0	0	0	0	0	1	0	0
CES002	0	0	1	0	0	0	0	0	0	0	0	0	0
Sfygt10	0	0	0	0	0	0	0	0	1	0	0	0	0
HHSNTN	0	0	0	0	0	0	0	0	0	0	0	0	1
PMI	0	0	0	0	0	1	0	0	0	0	0	0	0
PMDEL	0	0	0	0	0	1	0	0	0	0	0	0	0
PMCP	0	0	0	0	0	0	1	0	0	0	0	0	0
GDP256	1	0	0	0	0	0	0	0	0	0	0	0	0
LBOUT	0	0	0	0	0	0	0	1	0	0	0	0	0
PMNV	0	0	0	0	0	1	0	0	0	0	0	0	0
GDP263	1	0	0	0	0	0	0	0	0	0	0	0	0
GDP264	1	0	0	0	0	0	0	0	0	0	0	0	0
GDP265	1	0	0	0	0	0	0	0	0	0	0	0	0
LBMNU	0	0	1	0	0	0	0	0	0	0	0	0	0
PMNO	0	0	0	0	0	1	0	0	0	0	0	0	0
CCINRV	0	0	0	0	0	0	0	0	0	1	0	0	0
BUSLOANS	0	0	0	0	0	0	0	0	0	1	0	0	0
PMP	0	1	0	0	0	0	0	0	0	0	0	0	0
GDP276_1	0	0	0	0	0	0	1	0	0	0	0	0	0
GDP270	1	0	0	0	0	0	0	0	0	0	0	0	0
GDP253	1	0	0	0	0	0	0	0	0	0	0	0	0
LHEL	0	0	1	0	0	0	0	0	0	0	0	0	0
GDP254	1	0	0	0	0	0	0	0	0	0	0	0	0
GDP255	1	0	0	0	0	0	0	0	0	0	0	0	0
GDP257	1	0	0	0	0	0	0	0	0	0	0	0	0
GDP258	1	0	0	0	0	0	0	0	0	0	0	0	0
GDP259	1	0	0	0	0	0	0	0	0	0	0	0	0
GDP260	1	0	0	0	0	0	0	0	0	0	0	0	0
GDP261	1	0	0	0	0	0	0	0	0	0	0	0	0
GDP266	1	0	0	0	0	0	0	0	0	0	0	0	0
GDP267	1	0	0	0	0	0	0	0	0	0	0	0	0
GDP268	1	0	0	0	0	0	0	0	0	0	0	0	0
GDP269	1	0	0	0	0	0	0	0	0	0	0	0	0
GDP271	1	0	0	0	0	0	0	0	0	0	0	0	0
GDP272	0	0	0	0	0	0	1	0	0	0	0	0	0
GDP274	0	0	0	0	0	0	1	0	0	0	0	0	0
GDP275	0	0	0	0	0	0	1	0	0	0	0	0	0
GDP276	0	0	0	0	0	0	1	0	0	0	0	0	0
GDP277	0	0	0	0	0	0	1	0	0	0	0	0	0
GDP278	0	0	0	0	0	0	1	0	0	0	0	0	0
GDP279	0	0	0	0	0	0	1	0	0	0	0	0	0
GDP280	0	0	0	0	0	0	1	0	0	0	0	0	0
GDP281	0	0	0	0	0	0	1	0	0	0	0	0	0
GDP282	0	0	0	0	0	0	1	0	0	0	0	0	0
GDP284	0	0	0	0	0	0	1	0	0	0	0	0	0
GDP285	0	0	0	0	0	0	1	0	0	0	0	0	0
GDP286	0	0	0	0	0	0	1	0	0	0	0	0	0
GDP287	0	0	0	0	0	0	1	0	0	0	0	0	0
GDP288	0	0	0	0	0	0	1	0	0	0	0	0	0
GDP289	0	0	0	0	0	0	1	0	0	0	0	0	0
GDP290	0	0	0	0	0	0	1	0	0	0	0	0	0
GDP291	0	0	0	0	0	0	1	0	0	0	0	0	0
GDP292	0	0	0	0	0	0	1	0	0	0	0	0	0
LBPUR7	0	0	0	0	0	0	0	1	0	0	0	0	0
LBLCPU	0	0	0	0	0	0	0	1	0	0	0	0	0
GDP274_1	0	0	0	0	0	0	1	0	0	0	0	0	0
GDP274_2	0	0	0	0	0	0	1	0	0	0	0	0	0
GDP274_3	0	0	0	0	0	0	1	0	0	0	0	0	0
GDP275_1	0	0	0	0	0	0	1	0	0	0	0	0	0
GDP275_2	0	0	0	0	0	0	1	0	0	0	0	0	0
GDP275_3	0	0	0	0	0	0	1	0	0	0	0	0	0
GDP275_4	0	0	0	0	0	0	1	0	0	0	0	0	0
GDP276_2	0	0	0	0	0	0	1	0	0	0	0	0	0
GDP276_3	0	0	0	0	0	0	1	0	0	0	0	0	0
GDP276_4	0	0	0	0	0	0	1	0	0	0	0	0	0
GDP276_5	0	0	0	0	0	0	1	0	0	0	0	0	0
GDP276_6	0	0	0	0	0	0	1	0	0	0	0	0	0
GDP276_7	0	0	0	0	0	0	1	0	0	0	0	0	0
GDP276_8	0	0	0	0	0	0	1	0	0	0	0	0	0
GDP284_1	0	0	0	0	0	0	1	0	0	0	0	0	0
GDP284_2	0	0	0	0	0	0	1	0	0	0	0	0	0
GDP285_1	0	0	0	0	0	0	1	0	0	0	0	0	0
GDP285_2	0	0	0	0	0	0	1	0	0	0	0	0	0
IPS11	0	1	0	0	0	0	0	0	0	0	0	0	0
IPS299	0	1	0	0	0	0	0	0	0	0	0	0	0
IPS12	0	1	0	0	0	0	0	0	0	0	0	0	0
IPS13	0	1	0	0	0	0	0	0	0	0	0	0	0
IPS18	0	1	0	0	0	0	0	0	0	0	0	0	0
IPS25	0	1	0	0	0	0	0	0	0	0	0	0	0
IPS32	0	1	0	0	0	0	0	0	0	0	0	0	0
IPS34	0	1	0	0	0	0	0	0	0	0	0	0	0
IPS38	0	1	0	0	0	0	0	0	0	0	0	0	0
IPS43	0	1	0	0	0	0	0	0	0	0	0	0	0
IPS307	0	1	0	0	0	0	0	0	0	0	0	0	0
IPS306	0	1	0	0	0	0	0	0	0	0	0	0	0
CES275	0	0	0	0	0	0	0	1	0	0	0	0	0
CES277	0	0	0	0	0	0	0	1	0	0	0	0	0
CES278	0	0	0	0	0	0	0	1	0	0	0	0	0
CES277R	0	0	0	0	0	0	0	1	0	0	0	0	0
CES278.R	0	0	0	0	0	0	0	1	0	0	0	0	0
CES003	0	0	1	0	0	0	0	0	0	0	0	0	0
CES006	0	0	1	0	0	0	0	0	0	0	0	0	0
CES011	0	0	1	0	0	0	0	0	0	0	0	0	0
CES015	0	0	1	0	0	0	0	0	0	0	0	0	0
CES017	0	0	1	0	0	0	0	0	0	0	0	0	0
CES033	0	0	1	0	0	0	0	0	0	0	0	0	0
CES046	0	0	1	0	0	0	0	0	0	0	0	0	0
CES048	0	0	1	0	0	0	0	0	0	0	0	0	0
CES049	0	0	1	0	0	0	0	0	0	0	0	0	0
CES053	0	0	1	0	0	0	0	0	0	0	0	0	0
CES088	0	0	1	0	0	0	0	0	0	0	0	0	0
CES140	0	0	1	0	0	0	0	0	0	0	0	0	0
LHELX	0	0	1	0	0	0	0	0	0	0	0	0	0
LHEM	0	0	1	0	0	0	0	0	0	0	0	0	0
LHNAG	0	0	1	0	0	0	0	0	0	0	0	0	0
LHU680	0	0	0	1	0	0	0	0	0	0	0	0	0
LHU5	0	0	0	1	0	0	0	0	0	0	0	0	0
LHU14	0	0	0	1	0	0	0	0	0	0	0	0	0
